Season      Lat      Lon      Rs      SZA      Aerosol_net      Clear_net      Net_net      Column_DAOD
0.000      10.700      0.000      0.162      48.680      726.585      729.679      -3.094      0.622
0.000      10.700      2.500      0.148      48.960      730.502      733.836      -3.334      0.622
0.000      10.700      5.000      0.161      49.147      720.059      723.230      -3.172      0.622
0.000      10.700      7.500      0.166      49.232      715.854      718.966      -3.112      0.622
0.000      10.700      10.000      0.200      49.205      696.426      699.055      -2.630      0.622
0.000      10.700      12.500      0.196      49.056      700.973      703.638      -2.664      0.622
0.000      10.700      15.000      0.212      48.773      695.705      698.109      -2.404      0.622
0.000      10.700      17.500      0.146      48.341      741.194      744.474      -3.280      0.622
0.000      10.700      20.000      0.143      47.743      752.096      755.341      -3.245      0.622
0.000      10.700      22.500      0.154      46.960      757.235      760.217      -2.982      0.622
0.000      10.700      25.000      0.166      45.964      764.445      767.126      -2.681      0.622
0.000      10.700      27.500      0.177      45.987      757.252      759.778      -2.526      0.622
0.000      10.700      30.000      0.158      46.276      764.869      767.706      -2.837      0.622
0.000      10.700      32.500      0.152      46.558      764.418      767.378      -2.960      0.622
0.000      10.700      35.000      0.151      46.885      760.181      763.197      -3.016      0.622
0.000      10.700      37.500      0.157      47.413      748.647      751.644      -2.997      0.622
0.000      10.700      40.000      0.149      47.891      746.268      749.445      -3.176      0.622
0.000      10.700      42.500      0.209      48.310      704.203      706.584      -2.381      0.622
0.000      10.700      45.000      0.259      48.664      669.303      671.059      -1.756      0.622
0.000      10.700      47.500      0.323      48.942      627.205      628.186      -0.981      0.622
0.000      10.700      50.000      0.329      49.136      621.084      622.019      -0.935      0.622
0.000      12.600      -30.000      0.073      49.903      758.425      763.006      -4.580      0.622
0.000      12.600      -27.500      0.072      49.453      766.458      770.994      -4.536      0.622
0.000      12.600      -25.000      0.072      48.843      776.497      780.954      -4.457      0.622
0.000      12.600      -22.500      0.071      48.056      789.911      794.283      -4.372      0.622
0.000      12.600      -20.000      0.072      47.265      802.047      806.305      -4.258      0.622
0.000      12.600      -17.500      0.073      47.490      797.847      802.117      -4.270      0.622
0.000      12.600      -15.000      0.125      47.704      763.457      766.963      -3.506      0.622
0.000      12.600      -12.500      0.143      47.906      749.613      752.879      -3.266      0.622
0.000      12.600      -10.000      0.147      48.093      744.381      747.613      -3.232      0.622
0.000      12.600      -7.500      0.178      48.614      718.155      721.011      -2.856      0.622
0.000      12.600      -5.000      0.202      49.127      696.406      698.997      -2.591      0.622
0.000      12.600      -2.500      0.209      49.564      685.872      688.428      -2.556      0.622
0.000      12.600      0.000      0.243      49.920      660.966      663.113      -2.147      0.622
0.000      12.600      2.500      0.172      50.188      697.757      700.918      -3.160      0.622
0.000      12.600      5.000      0.229      50.360      662.642      665.040      -2.398      0.622
0.000      12.600      7.500      0.274      50.428      635.848      637.663      -1.816      0.622
0.000      12.600      10.000      0.288      50.382      628.421      630.050      -1.629      0.622
0.000      12.600      12.500      0.282      50.211      634.267      635.948      -1.681      0.622
0.000      12.600      15.000      0.220      49.901      674.548      677.002      -2.454      0.622
0.000      12.600      17.500      0.236      49.437      671.982      674.153      -2.171      0.622
0.000      12.600      20.000      0.190      48.801      708.289      711.002      -2.713      0.622
0.000      12.600      22.500      0.245      47.969      687.388      689.233      -1.845      0.622
0.000      12.600      25.000      0.283      47.132      675.478      676.711      -1.232      0.622
0.000      12.600      27.500      0.292      47.422      666.071      667.227      -1.156      0.622
0.000      12.600      30.000      0.181      47.704      729.847      732.539      -2.691      0.622
0.000      12.600      32.500      0.173      47.977      730.623      733.464      -2.841      0.622
0.000      12.600      35.000      0.134      48.236      749.900      753.342      -3.442      0.622
0.000      12.600      37.500      0.133      48.713      743.091      746.611      -3.520      0.622
0.000      12.600      40.000      0.162      49.180      718.970      722.132      -3.162      0.622
0.000      12.600      42.500      0.129      49.586      731.716      735.413      -3.697      0.622
0.000      12.600      45.000      0.079      49.923      754.702      759.193      -4.491      0.622
0.000      12.600      47.500      0.079      50.183      750.388      754.914      -4.526      0.622
0.000      12.600      50.000      0.085      50.356      744.168      748.626      -4.458      0.622
0.000      14.500      -30.000      0.074      51.053      738.595      743.316      -4.720      0.622
0.000      14.500      -27.500      0.074      50.574      746.652      751.307      -4.655      0.622
0.000      14.500      -25.000      0.074      49.929      757.422      761.991      -4.569      0.622
0.000      14.500      -22.500      0.072      49.099      772.297      776.787      -4.490      0.622
0.000      14.500      -20.000      0.072      48.715      778.591      783.032      -4.440      0.622
0.000      14.500      -17.500      0.073      48.938      774.370      778.824      -4.454      0.622
0.000      14.500      -15.000      0.224      49.147      683.201      685.493      -2.292      0.622
0.000      14.500      -12.500      0.178      49.341      707.211      710.167      -2.957      0.622
0.000      14.500      -10.000      0.177      49.518      705.110      708.105      -2.995      0.622
0.000      14.500      -7.500      0.244      49.885      660.884      663.013      -2.129      0.622
0.000      14.500      -5.000      0.248      50.395      651.247      653.397      -2.150      0.622
0.000      14.500      -2.500      0.280      50.826      626.820      628.617      -1.797      0.622
0.000      14.500      0.000      0.303      51.172      608.907      610.465      -1.558      0.622
0.000      14.500      2.500      0.324      51.428      593.503      594.839      -1.336      0.622
0.000      14.500      5.000      0.330      51.585      587.977      589.264      -1.287      0.622
0.000      14.500      7.500      0.351      51.636      575.429      576.471      -1.042      0.622
0.000      14.500      10.000      0.334      51.570      585.925      587.161      -1.236      0.622
0.000      14.500      12.500      0.367      51.374      569.754      570.566      -0.812      0.622
0.000      14.500      15.000      0.343      51.036      587.915      588.961      -1.046      0.622
0.000      14.500      17.500      0.361      50.538      584.016      584.772      -0.756      0.622
0.000      14.500      20.000      0.333      49.859      609.233      610.225      -0.991      0.622
0.000      14.500      22.500      0.313      48.976      632.760      633.869      -1.109      0.622
0.000      14.500      25.000      0.309      48.586      640.321      641.425      -1.104      0.622
0.000      14.500      27.500      0.349      48.871      612.467      613.122      -0.654      0.622
0.000      14.500      30.000      0.352      49.147      607.153      607.811      -0.658      0.622
0.000      14.500      32.500      0.190      49.410      699.206      702.003      -2.797      0.622
0.000      14.500      35.000      0.163      49.657      711.072      714.285      -3.214      0.622
0.000      14.500      37.500      0.171      50.025      700.829      703.980      -3.151      0.622
0.000      14.500      40.000      0.175      50.481      691.533      694.693      -3.160      0.622
0.000      14.500      42.500      0.081      50.874      737.747      742.337      -4.590      0.622
0.000      14.500      45.000      0.176      51.196      679.913      683.162      -3.249      0.622
0.000      14.500      47.500      0.233      51.437      644.502      647.006      -2.504      0.622
0.000      14.500      50.000      0.080      51.588      726.262      730.966      -4.704      0.622
0.000      16.400      -30.000      0.076      52.207      717.868      722.718      -4.851      0.622
0.000      16.400      -27.500      0.075      51.698      727.105      731.900      -4.794      0.622
0.000      16.400      -25.000      0.075      51.015      738.681      743.381      -4.700      0.622
0.000      16.400      -22.500      0.076      50.137      752.838      757.403      -4.566      0.622
0.000      16.400      -20.000      0.073      50.179      753.824      758.441      -4.617      0.622
0.000      16.400      -17.500      0.074      50.399      749.596      754.228      -4.631      0.622
0.000      16.400      -15.000      0.293      50.603      622.483      624.082      -1.599      0.622
0.000      16.400      -12.500      0.303      50.790      614.166      615.666      -1.501      0.622
0.000      16.400      -10.000      0.301      50.957      613.011      614.562      -1.551      0.622
0.000      16.400      -7.500      0.292      51.165      615.242      616.938      -1.696      0.622
0.000      16.400      -5.000      0.331      51.672      586.240      587.528      -1.288      0.622
0.000      16.400      -2.500      0.294      52.097      601.056      602.868      -1.812      0.622
0.000      16.400      0.000      0.308      52.434      588.590      590.280      -1.689      0.622
0.000      16.400      2.500      0.318      52.678      579.702      581.306      -1.604      0.622
0.000      16.400      5.000      0.335      52.820      568.423      569.841      -1.418      0.622
0.000      16.400      7.500      0.380      52.853      543.260      544.150      -0.890      0.622
0.000      16.400      10.000      0.483      52.766      486.990      486.736      0.254      0.622
0.000      16.400      12.500      0.506      52.545      476.494      475.971      0.523      0.622
0.000      16.400      15.000      0.498      52.176      485.178      484.679      0.499      0.622
0.000      16.400      17.500      0.473      51.640      505.630      505.307      0.324      0.622
0.000      16.400      20.000      0.434      50.916      536.761      536.744      0.017      0.622
0.000      16.400      22.500      0.360      49.975      591.818      592.502      -0.684      0.622
0.000      16.400      25.000      0.436      50.054      545.775      545.607      0.168      0.622
0.000      16.400      27.500      0.432      50.334      544.843      544.761      0.082      0.622
0.000      16.400      30.000      0.393      50.603      564.528      564.922      -0.394      0.622
0.000      16.400      32.500      0.316      50.856      605.809      607.157      -1.349      0.622
0.000      16.400      35.000      0.218      51.091      658.047      660.701      -2.654      0.622
0.000      16.400      37.500      0.250      51.346      636.331      638.596      -2.265      0.622
0.000      16.400      40.000      0.093      51.793      715.767      720.304      -4.537      0.622
0.000      16.400      42.500      0.084      52.173      714.181      718.907      -4.726      0.622
0.000      16.400      45.000      0.326      52.479      578.045      579.519      -1.474      0.622
0.000      16.400      47.500      0.361      52.702      555.730      556.819      -1.089      0.622
0.000      16.400      50.000      0.312      52.831      580.847      582.549      -1.702      0.622
0.000      18.300      -30.000      0.079      53.364      696.349      701.320      -4.971      0.622
0.000      18.300      -27.500      0.078      52.821      706.266      711.174      -4.908      0.622
0.000      18.300      -25.000      0.077      52.096      719.236      724.056      -4.820      0.622
0.000      18.300      -22.500      0.075      51.423      731.776      736.533      -4.756      0.622
0.000      18.300      -20.000      0.076      51.656      727.284      732.058      -4.773      0.622
0.000      18.300      -17.500      0.075      51.872      724.142      728.961      -4.819      0.622
0.000      18.300      -15.000      0.417      52.071      532.522      532.869      -0.347      0.622
0.000      18.300      -12.500      0.377      52.250      552.762      553.592      -0.830      0.622
0.000      18.300      -10.000      0.447      52.407      511.477      511.548      -0.071      0.622
0.000      18.300      -7.500      0.453      52.538      506.537      506.564      -0.026      0.622
0.000      18.300      -5.000      0.510      52.956      469.658      469.158      0.500      0.622
0.000      18.300      -2.500      0.439      53.375      504.213      504.523      -0.310      0.622
0.000      18.300      0.000      0.370      53.703      537.524      538.666      -1.142      0.622
