Season      Lat      Lon      Rs      SZA      Aerosol_net      Clear_net      Net_net      Column_DAOD
0.000      -90.000      172.500      0.799      66.403      204.302      203.410      0.892      0.622
0.000      -90.000      175.000      0.799      66.393      204.382      203.488      0.893      0.622
0.000      -90.000      177.500      0.799      66.383      204.458      203.563      0.895      0.622
0.000      -90.000      180.000      0.799      66.374      204.533      203.636      0.897      0.622
0.000      -88.100      -177.500      0.798      65.876      208.804      207.834      0.970      0.622
0.000      -88.100      -175.000      0.798      65.850      209.005      208.030      0.975      0.622
0.000      -88.100      -172.500      0.798      65.825      209.196      208.218      0.979      0.622
0.000      -88.100      -170.000      0.799      65.802      208.999      208.008      0.991      0.622
0.000      -88.100      -167.500      0.799      65.780      209.168      208.174      0.994      0.622
0.000      -88.100      -165.000      0.800      65.760      208.948      207.942      1.006      0.622
0.000      -88.100      -162.500      0.801      65.741      208.716      207.698      1.017      0.622
0.000      -88.100      -160.000      0.802      65.723      208.471      207.443      1.028      0.622
0.000      -88.100      -157.500      0.803      65.707      208.216      207.177      1.039      0.622
0.000      -88.100      -155.000      0.804      65.692      207.948      206.898      1.050      0.622
0.000      -88.100      -152.500      0.804      65.679      208.050      206.998      1.052      0.622
0.000      -88.100      -150.000      0.805      65.667      207.758      206.696      1.062      0.622
0.000      -88.100      -147.500      0.805      65.656      207.838      206.775      1.064      0.622
0.000      -88.100      -145.000      0.804      65.647      208.289      207.232      1.057      0.622
0.000      -88.100      -142.500      0.804      65.640      208.346      207.287      1.058      0.622
0.000      -88.100      -140.000      0.803      65.634      208.773      207.722      1.051      0.622
0.000      -88.100      -137.500      0.802      65.630      209.189      208.146      1.043      0.622
0.000      -88.100      -135.000      0.802      65.627      209.212      208.168      1.044      0.622
0.000      -88.100      -132.500      0.802      65.626      209.222      208.178      1.044      0.622
0.000      -88.100      -130.000      0.802      65.626      209.221      208.177      1.044      0.622
0.000      -88.100      -127.500      0.802      65.628      209.209      208.165      1.044      0.622
0.000      -88.100      -125.000      0.803      65.631      208.803      207.751      1.051      0.622
0.000      -88.100      -122.500      0.803      65.635      208.768      207.717      1.051      0.622
0.000      -88.100      -120.000      0.803      65.641      208.722      207.673      1.050      0.622
0.000      -88.100      -117.500      0.803      65.648      208.667      207.618      1.049      0.622
0.000      -88.100      -115.000      0.803      65.657      208.601      207.553      1.047      0.622
0.000      -88.100      -112.500      0.803      65.667      208.523      207.478      1.046      0.622
0.000      -88.100      -110.000      0.803      65.678      208.437      207.393      1.044      0.622
0.000      -88.100      -107.500      0.803      65.690      208.340      207.298      1.042      0.622
0.000      -88.100      -105.000      0.803      65.704      208.234      207.195      1.039      0.622
0.000      -88.100      -102.500      0.802      65.719      208.500      207.471      1.029      0.622
0.000      -88.100      -100.000      0.802      65.735      208.375      207.349      1.026      0.622
0.000      -88.100      -97.500      0.802      65.753      208.241      207.218      1.023      0.622
0.000      -88.100      -95.000      0.802      65.771      208.098      207.077      1.020      0.622
0.000      -88.100      -92.500      0.802      65.791      207.947      206.930      1.017      0.622
0.000      -88.100      -90.000      0.801      65.811      208.167      207.162      1.006      0.622
0.000      -88.100      -87.500      0.801      65.833      208.000      206.998      1.002      0.622
0.000      -88.100      -85.000      0.800      65.855      208.204      207.214      0.990      0.622
0.000      -88.100      -82.500      0.800      65.879      208.021      207.035      0.986      0.622
0.000      -88.100      -80.000      0.800      65.903      207.832      206.850      0.982      0.622
0.000      -88.100      -77.500      0.799      65.928      208.013      207.043      0.970      0.622
0.000      -88.100      -75.000      0.799      65.954      207.810      206.845      0.966      0.622
0.000      -88.100      -72.500      0.799      65.981      207.601      206.640      0.961      0.622
0.000      -88.100      -70.000      0.799      66.009      207.387      206.430      0.957      0.622
0.000      -88.100      -67.500      0.799      66.037      207.167      206.215      0.952      0.622
0.000      -88.100      -65.000      0.800      66.066      206.566      205.611      0.956      0.622
0.000      -88.100      -62.500      0.800      66.095      206.337      205.386      0.951      0.622
0.000      -88.100      -60.000      0.800      66.125      206.103      205.157      0.946      0.622
0.000      -88.100      -57.500      0.800      66.156      205.865      204.924      0.941      0.622
0.000      -88.100      -55.000      0.800      66.187      205.623      204.688      0.936      0.622
0.000      -88.100      -52.500      0.800      66.218      205.378      204.448      0.931      0.622
0.000      -88.100      -50.000      0.800      66.250      205.130      204.205      0.925      0.622
0.000      -88.100      -47.500      0.800      66.282      204.880      203.960      0.920      0.622
0.000      -88.100      -45.000      0.800      66.315      204.627      203.712      0.915      0.622
0.000      -88.100      -42.500      0.800      66.347      204.371      203.462      0.909      0.622
0.000      -88.100      -40.000      0.800      66.380      204.115      203.211      0.904      0.622
0.000      -88.100      -37.500      0.800      66.413      203.857      202.959      0.898      0.622
0.000      -88.100      -35.000      0.800      66.446      203.599      202.706      0.893      0.622
0.000      -88.100      -32.500      0.799      66.479      203.708      202.829      0.879      0.622
0.000      -88.100      -30.000      0.799      66.512      203.448      202.575      0.874      0.622
0.000      -88.100      -27.500      0.799      66.545      203.189      202.321      0.868      0.622
0.000      -88.100      -25.000      0.799      66.578      202.931      202.068      0.863      0.622
0.000      -88.100      -22.500      0.799      66.611      202.674      201.816      0.857      0.622
0.000      -88.100      -20.000      0.799      66.644      202.418      201.566      0.852      0.622
0.000      -88.100      -17.500      0.799      66.676      202.164      201.318      0.847      0.622
0.000      -88.100      -15.000      0.799      66.708      201.913      201.072      0.841      0.622
0.000      -88.100      -12.500      0.799      66.740      201.665      200.829      0.836      0.622
0.000      -88.100      -10.000      0.799      66.771      201.420      200.589      0.831      0.622
0.000      -88.100      -7.500      0.799      66.802      201.178      200.352      0.826      0.622
0.000      -88.100      -5.000      0.799      66.832      200.941      200.121      0.821      0.622
0.000      -88.100      -2.500      0.799      66.861      200.709      199.893      0.816      0.622
0.000      -88.100      0.000      0.798      66.890      200.842      200.039      0.803      0.622
0.000      -88.100      2.500      0.798      66.918      200.620      199.822      0.798      0.622
0.000      -88.100      5.000      0.798      66.946      200.403      199.610      0.793      0.622
0.000      -88.100      7.500      0.798      66.973      200.193      199.404      0.789      0.622
0.000      -88.100      10.000      0.798      66.998      199.990      199.205      0.785      0.622
0.000      -88.100      12.500      0.798      67.023      199.794      199.014      0.780      0.622
0.000      -88.100      15.000      0.798      67.047      199.606      198.830      0.777      0.622
0.000      -88.100      17.500      0.798      67.070      199.426      198.654      0.773      0.622
0.000      -88.100      20.000      0.798      67.091      199.255      198.486      0.769      0.622
0.000      -88.100      22.500      0.798      67.112      199.093      198.327      0.766      0.622
0.000      -88.100      25.000      0.798      67.131      198.940      198.177      0.762      0.622
0.000      -88.100      27.500      0.798      67.149      198.797      198.038      0.759      0.622
0.000      -88.100      30.000      0.798      67.166      198.664      197.908      0.757      0.622
0.000      -88.100      32.500      0.798      67.182      198.543      197.789      0.754      0.622
0.000      -88.100      35.000      0.799      67.196      198.076      197.316      0.760      0.622
0.000      -88.100      37.500      0.798      67.208      198.332      197.582      0.750      0.622
0.000      -88.100      40.000      0.798      67.219      198.244      197.496      0.748      0.622
0.000      -88.100      42.500      0.798      67.229      198.167      197.421      0.746      0.622
0.000      -88.100      45.000      0.798      67.237      198.103      197.358      0.745      0.622
0.000      -88.100      47.500      0.798      67.244      198.052      197.308      0.744      0.622
0.000      -88.100      50.000      0.797      67.249      198.368      197.633      0.734      0.622
0.000      -88.100      52.500      0.797      67.252      198.341      197.607      0.734      0.622
0.000      -88.100      55.000      0.797      67.254      198.329      197.595      0.734      0.622
0.000      -88.100      57.500      0.796      67.254      198.683      197.958      0.725      0.622
0.000      -88.100      60.000      0.796      67.252      198.696      197.971      0.725      0.622
0.000      -88.100      62.500      0.796      67.248      198.723      197.997      0.726      0.622
0.000      -88.100      65.000      0.796      67.243      198.764      198.037      0.727      0.622
0.000      -88.100      67.500      0.796      67.237      198.817      198.089      0.728      0.622
0.000      -88.100      70.000      0.796      67.228      198.885      198.155      0.729      0.622
0.000      -88.100      72.500      0.796      67.218      198.966      198.234      0.731      0.622
0.000      -88.100      75.000      0.796      67.206      199.059      198.326      0.733      0.622
0.000      -88.100      77.500      0.796      67.193      199.166      198.431      0.735      0.622
0.000      -88.100      80.000      0.796      67.177      199.286      198.548      0.738      0.622
0.000      -88.100      82.500      0.796      67.161      199.419      198.678      0.741      0.622
0.000      -88.100      85.000      0.796      67.142      199.564      198.820      0.744      0.622
0.000      -88.100      87.500      0.796      67.123      199.722      198.975      0.747      0.622
0.000      -88.100      90.000      0.796      67.101      199.892      199.141      0.751      0.622
0.000      -88.100      92.500      0.796      67.078      200.072      199.318      0.754      0.622
0.000      -88.100      95.000      0.796      67.054      200.264      199.506      0.759      0.622
0.000      -88.100      97.500      0.796      67.029      200.467      199.704      0.763      0.622
0.000      -88.100      100.000      0.796      67.002      200.680      199.913      0.767      0.622
0.000      -88.100      102.500      0.796      66.974      200.903      200.131      0.772      0.622
0.000      -88.100      105.000      0.797      66.944      200.776      199.991      0.785      0.622
0.000      -88.100      107.500      0.797      66.914      201.016      200.226      0.790      0.622
0.000      -88.100      110.000      0.797      66.882      201.265      200.470      0.796      0.622
0.000      -88.100      112.500      0.797      66.850      201.522      200.721      0.801      0.622
0.000      -88.100      115.000      0.797      66.816      201.786      200.979      0.807      0.622
0.000      -88.100      117.500      0.797      66.782      202.056      201.243      0.812      0.622
0.000      -88.100      120.000      0.797      66.747      202.332      201.514      0.818      0.622
0.000      -88.100      122.500      0.797      66.712      202.613      201.789      0.824      0.622
0.000      -88.100      125.000      0.798      66.675      202.534      201.695      0.838      0.622
0.000      -88.100      127.500      0.798      66.639      202.822      201.978      0.844      0.622
0.000      -88.100      130.000      0.798      66.602      203.114      202.263      0.851      0.622
0.000      -88.100      132.500      0.798      66.564      203.408      202.551      0.857      0.622
0.000      -88.100      135.000      0.798      66.527      203.704      202.841      0.863      0.622
0.000      -88.100      137.500      0.798      66.489      204.001      203.132      0.869      0.622
0.000      -88.100      140.000      0.798      66.451      204.299      203.423      0.876      0.622
0.000      -88.100      142.500      0.798      66.413      204.596      203.714      0.882      0.622
0.000      -88.100      145.000      0.798      66.375      204.892      204.004      0.888      0.622
0.000      -88.100      147.500      0.798      66.338      205.187      204.292      0.894      0.622
0.000      -88.100      150.000      0.798      66.300      205.479      204.579      0.900      0.622
0.000      -88.100      152.500      0.797      66.263      206.140      205.242      0.898      0.622
0.000      -88.100      155.000      0.797      66.227      206.427      205.523      0.904      0.622
0.000      -88.100      157.500      0.797      66.191      206.710      205.799      0.910      0.622
0.000      -88.100      160.000      0.796      66.156      207.360      206.452      0.908      0.622
0.000      -88.100      162.500      0.796      66.121      207.633      206.720      0.913      0.622
0.000      -88.100      165.000      0.796      66.087      207.900      206.981      0.919      0.622
0.000      -88.100      167.500      0.796      66.054      208.161      207.236      0.924      0.622
0.000      -88.100      170.000      0.797      66.022      208.039      207.101      0.938      0.622
0.000      -88.100      172.500      0.797      65.990      208.284      207.341      0.943      0.622
0.000      -88.100      175.000      0.797      65.960      208.522      207.573      0.948      0.622
0.000      -88.100      177.500      0.798      65.931      208.373      207.412      0.961      0.622
0.000      -88.100      180.000      0.798      65.903      208.593      207.627      0.966      0.622
0.000      -86.200      -177.500      0.784      65.253      219.102      218.145      0.957      0.622
0.000      -86.200      -175.000      0.795      65.211      215.151      214.096      1.054      0.622
0.000      -86.200      -172.500      0.804      65.172      211.940      210.806      1.134      0.622
0.000      -86.200      -170.000      0.811      65.135      209.477      208.281      1.196      0.622
0.000      -86.200      -167.500      0.812      65.101      209.344      208.134      1.210      0.622
0.000      -86.200      -165.000      0.813      65.069      209.190      207.967      1.223      0.622
0.000      -86.200      -162.500      0.813      65.039      209.412      208.185      1.228      0.622
0.000      -86.200      -160.000      0.813      65.012      209.615      208.383      1.232      0.622
0.000      -86.200      -157.500      0.813      64.987      209.798      208.562      1.236      0.622
0.000      -86.200      -155.000      0.812      64.965      210.358      209.127      1.232      0.622
0.000      -86.200      -152.500      0.811      64.946      210.900      209.673      1.227      0.622
0.000      -86.200      -150.000      0.808      64.929      212.214      211.009      1.205      0.622
0.000      -86.200      -147.500      0.802      64.915      214.698      213.539      1.159      0.622
0.000      -86.200      -145.000      0.801      64.903      215.184      214.031      1.153      0.622
0.000      -86.200      -142.500      0.806      64.894      213.276      212.081      1.195      0.622
0.000      -86.200      -140.000      0.814      64.887      210.155      208.895      1.260      0.622
0.000      -86.200      -137.500      0.815      64.882      209.790      208.522      1.269      0.622
0.000      -86.200      -135.000      0.811      64.881      211.393      210.156      1.237      0.622
0.000      -86.200      -132.500      0.809      64.881      212.183      210.962      1.221      0.622
0.000      -86.200      -130.000      0.808      64.884      212.558      211.346      1.213      0.622
0.000      -86.200      -127.500      0.808      64.889      212.519      211.307      1.212      0.622
0.000      -86.200      -125.000      0.806      64.896      213.255      212.061      1.195      0.622
0.000      -86.200      -122.500      0.805      64.906      213.577      212.393      1.185      0.622
0.000      -86.200      -120.000      0.804      64.918      213.883      212.708      1.175      0.622
0.000      -86.200      -117.500      0.803      64.932      214.172      213.008      1.165      0.622
0.000      -86.200      -115.000      0.802      64.948      214.444      213.290      1.154      0.622
0.000      -86.200      -112.500      0.801      64.966      214.700      213.557      1.143      0.622
0.000      -86.200      -110.000      0.803      64.986      213.758      212.602      1.156      0.622
0.000      -86.200      -107.500      0.805      65.008      212.801      211.632      1.169      0.622
0.000      -86.200      -105.000      0.808      65.032      211.439      210.250      1.189      0.622
0.000      -86.200      -102.500      0.808      65.057      211.244      210.060      1.185      0.622
0.000      -86.200      -100.000      0.807      65.084      211.431      210.259      1.172      0.622
0.000      -86.200      -97.500      0.806      65.113      211.603      210.443      1.160      0.622
0.000      -86.200      -95.000      0.805      65.144      211.762      210.616      1.147      0.622
0.000      -86.200      -92.500      0.804      65.176      211.908      210.775      1.133      0.622
0.000      -86.200      -90.000      0.804      65.210      211.652      210.524      1.128      0.622
0.000      -86.200      -87.500      0.803      65.245      211.773      210.659      1.114      0.622
0.000      -86.200      -85.000      0.802      65.281      211.883      210.783      1.100      0.622
0.000      -86.200      -82.500      0.802      65.319      211.593      210.499      1.094      0.622
0.000      -86.200      -80.000      0.801      65.357      211.681      210.601      1.080      0.622
0.000      -86.200      -77.500      0.800      65.398      211.758      210.693      1.065      0.622
0.000      -86.200      -75.000      0.797      65.439      212.597      211.563      1.034      0.622
0.000      -86.200      -72.500      0.795      65.481      213.037      212.027      1.010      0.622
0.000      -86.200      -70.000      0.794      65.524      213.082      212.087      0.995      0.622
0.000      -86.200      -67.500      0.795      65.569      212.350      211.354      0.996      0.622
0.000      -86.200      -65.000      0.796      65.614      211.613      210.616      0.997      0.622
0.000      -86.200      -62.500      0.797      65.660      210.869      209.872      0.997      0.622
